ssot_slug,yandex_name,chel_wp_term_id,chel_wp_name,chel_doctors_count,spb_doctors_count,spb_raw_variants,manual_merge,merge_status,notes
uzi-specialist,узи-специалист,1282,узи-специалист,1,16,"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории. || Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Уролог, уролог-андролог, врач ультразвуковой диагностики || Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, врач ультразвуковой диагностики. || Врач акушер-гинеколог, врач ультразвуковой диагностики || Врач-акушер-гинеколог, врач ультразвуковой диагностики || Врач пренатальной ультразвуковой диагностики, врач акушер-гинеколог || Врач ультразвуковой диагностики || Врач — травматолог-ортопед, врач ультразвуковой диагностики. || Врач-онколог, маммолог, врач ультразвуковой диагностики.",,chel_spb,
urolog,уролог,1270,уролог,4,2,"Уролог, уролог-андролог || Уролог, уролог-андролог, врач ультразвуковой диагностики",,chel_spb,
физиотерапевт,физиотерапевт,,,0,0,,,yandex_only,
фитотерапевт,фитотерапевт,,,0,0,,,yandex_only,
флеболог,флеболог,,,0,0,,,yandex_only,
фониатр,фониатр,,,0,0,,,yandex_only,
фтизиатр,фтизиатр,,,0,0,,,yandex_only,
химиотерапевт,химиотерапевт,,,0,0,,,yandex_only,
hirurg,хирург,1287,хирург,5,0,,,chel_only,
hirurg-jendokrinolog,хирург-эндокринолог,1303,хирург-эндокринолог,0,0,,,chel_only,
цитолог,цитолог,,,0,0,,,yandex_only,
челюстно-лицевой-хирург,челюстно-лицевой хирург,,,0,0,,,yandex_only,
эмбриолог,эмбриолог,,,0,3,"Эмбриолог, кандидат биологических наук || Эмбриолог || Эмбриолог, врач КЛД эмбриологической лаборатории отделения ВРТ",,spb_only,
эндоваскулярный-хирург,эндоваскулярный хирург,,,0,0,,,yandex_only,
jendokrinolog,эндокринолог,1284,эндокринолог,0,5,"Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. || Врач-эндокринолог, диетолог || Врач-эндоскопист",,chel_spb,
эндоскопист,эндоскопист,,,0,3,Врач-эндоскопист высшей квалификационной категории. || Врач-эндоскопист,,spb_only,
эпидемиолог,эпидемиолог,,,0,0,,,yandex_only,
эпилептолог,эпилептолог,,,0,0,,,yandex_only,
